no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
57,N9kq4zEAAAAJ,Jinyu Zhao,https://scholar.google.com/citations?hl=en&user=N9kq4zEAAAAJ,"Applied Researcher, eBay Inc.",Verified email at nyu.edu,"c(""Machine Learning"", ""Data Science"")",2018,4,1420,3,2,58.06,Top 42%,99.56,Top 0.4%,81.33,Top 19%
58,sGHphbYAAAAJ,Sven Dorkenwald,https://scholar.google.com/citations?hl=en&user=sGHphbYAAAAJ,"Allen Institute, University of Washington, Google Research",Verified email at alleninstitute.org,"c(""Connectomics"", ""Machine Learning"", ""Data Science"", ""Neuroscience"")",2017,34,1404,18,21,98.57,Top 1%,99.56,Top 0.4%,99.77,Top 0.2%
59,pE2WUVYAAAAJ,Andrew Hercules,https://scholar.google.com/citations?hl=en&user=pE2WUVYAAAAJ,Financial Conduct Authority,Verified email at fca.org.uk,"c(""Service Design"", ""Interaction Design"", ""Data Science"", ""Open Source Software"")",2019,7,1397,7,7,74.25,Top 26%,99.55,Top 0.5%,96.58,Top 3%
60,w_nutzYAAAAJ,Xiang Gui,https://scholar.google.com/citations?hl=en&user=w_nutzYAAAAJ,University of Texas Southwestern Medical Center,Verified email at alumni.utsw.edu,"c(""biomedical science"", ""data science"")",2019,2,1350,2,2,38.05,Top 62%,99.54,Top 0.5%,70.49,Top 30%
61,XMWXkxgAAAAJ,Matthew Feickert,https://scholar.google.com/citations?hl=en&user=XMWXkxgAAAAJ,University of Wisconsin-Madison,Verified email at wisc.edu,"c(""High Energy Physics"", ""Particle Dark Matter"", ""Data Science"", ""Machine Learning"")",2018,10,1347,6,6,83.8,Top 16%,99.53,Top 0.5%,94.89,Top 5%
62,4-k23QUAAAAJ,Md Shahjahan Siraj,https://scholar.google.com/citations?hl=en&user=4-k23QUAAAAJ,"Research Investigator, icddr,b",Verified email at icddrb.org,"c(""Public health"", ""Epidemiology"", ""Spatial Epidemiology"", ""Data Science"", ""Machine learning"")",2020,26,1346,11,13,97.32,Top 3%,99.52,Top 0.5%,99.06,Top 0.9%
63,qIb_nngAAAAJ,Moinak Maiti,https://scholar.google.com/citations?hl=en&user=qIb_nngAAAAJ,,,"c(""Asset Pricing"", ""Data Science"", ""Financial Econometrics"", ""Fintech"", ""Sustainability"")",2017,69,1340,23,39,99.77,Top 0.2%,99.52,Top 0.5%,99.91,Top 0.1%
64,uV17KDusd4UC,Braden T Tierney,https://scholar.google.com/citations?hl=en&user=uV17KDusd4UC,Weill Cornell Medical College,Verified email at med.cornell.edu,"c(""microbiology"", ""data science"", ""bioinformatics"")",2018,39,1307,10,10,98.89,Top 1%,99.51,Top 0.5%,98.81,Top 1%
65,DVn0pXwAAAAJ,Miguel Carmona,https://scholar.google.com/citations?hl=en&user=DVn0pXwAAAAJ,"Technical Lead, AstraZeneca",Verified email at astrazeneca.com,"c(""computer science"", ""data science"", ""big data"", ""computational biology"")",2019,8,1303,7,7,78.01,Top 22%,99.5,Top 0.5%,96.58,Top 3%
66,lyAhgqgAAAAJ,Cian Kingston,https://scholar.google.com/citations?hl=en&user=lyAhgqgAAAAJ,University of Utah,Verified email at utah.edu,"c(""Synthetic Organic Chemistry"", ""Physical Organic Chemistry"", ""Data Science"")",2017,15,1292,11,11,91.49,Top 9%,99.49,Top 0.5%,99.06,Top 0.9%
67,zGM5wfAAAAAJ,Michiel Schinkel,https://scholar.google.com/citations?hl=en&user=zGM5wfAAAAAJ,"Researcher, Amsterdam UMC",Verified email at amsterdamumc.nl,"c(""Internal Medicine"", ""Data Science"")",2019,77,1280,16,28,99.86,Top 0.1%,99.49,Top 0.5%,99.69,Top 0.3%
68,TrrQqtMAAAAJ,Ransome Bawack,https://scholar.google.com/citations?hl=en&user=TrrQqtMAAAAJ,Audencia Business School,Verified email at audencia.com,"c(""Artificial Intelligence"", ""Data Science"", ""Analytics"", ""E-business"")",2018,34,1252,13,14,98.57,Top 1%,99.48,Top 0.5%,99.45,Top 0.5%
69,7sD-XAEAAAAJ,Naeem Iqbal,https://scholar.google.com/citations?hl=en&user=7sD-XAEAAAAJ,"Postdoctoral Research Fellow, Queen's University Belfast, United Kingdom",Verified email at jejunu.ac.kr,"c(""Data Science"", ""AI"", ""Computational Intelligence"", ""Distributed Computing"", ""IoT-based Smart Systems"")",2019,45,1224,19,21,99.28,Top 0.7%,99.47,Top 0.5%,99.84,Top 0.2%
